region_set	control_set	module_id	track_id	mark	stage	n_regions	mean_signal	max_signal	signal_density	overlap_fraction	peak_count_mean
matched_random	matched_non_age_0003	M12	H3K4me3_blastocyst	H3K4me3	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M01	H3K27ac_8cell	H3K27ac	8cell	21	0.14285714285714285	1.0	0.14285714285714285	0.14285714285714285	0.14285714285714285
matched_random	matched_non_age_0004	M01	H3K27ac_blastocyst	H3K27ac	blastocyst	21	0.14285714285714285	1.0	0.14285714285714285	0.14285714285714285	0.14285714285714285
matched_random	matched_non_age_0004	M01	H3K27me3_8cell	H3K27me3	8cell	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M01	H3K27me3_blastocyst	H3K27me3	blastocyst	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M01	H3K27me3_morula	H3K27me3	morula	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M01	H3K4me3_8cell	H3K4me3	8cell	21	0.047619047619047616	1.0	0.047619047619047616	0.047619047619047616	0.047619047619047616
matched_random	matched_non_age_0004	M01	H3K4me3_blastocyst	H3K4me3	blastocyst	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M02	H3K27ac_8cell	H3K27ac	8cell	30	0.03721264367816092	1.0	0.03721264367816092	0.06666666666666667	0.06666666666666667
matched_random	matched_non_age_0004	M02	H3K27ac_blastocyst	H3K27ac	blastocyst	30	0.13333333333333333	1.0	0.13333333333333333	0.13333333333333333	0.13333333333333333
matched_random	matched_non_age_0004	M02	H3K27me3_8cell	H3K27me3	8cell	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M02	H3K27me3_blastocyst	H3K27me3	blastocyst	30	0.16666666666666666	1.0	0.16666666666666666	0.16666666666666666	0.16666666666666666
matched_random	matched_non_age_0004	M02	H3K27me3_morula	H3K27me3	morula	30	0.03333333333333333	0.7058823529411765	0.03333333333333333	0.03333333333333333	0.06666666666666667
matched_random	matched_non_age_0004	M02	H3K4me3_8cell	H3K4me3	8cell	30	0.01863041289023162	0.5589123867069486	0.01863041289023162	0.03333333333333333	0.03333333333333333
matched_random	matched_non_age_0004	M02	H3K4me3_blastocyst	H3K4me3	blastocyst	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M05	H3K27ac_8cell	H3K27ac	8cell	6	0.5	1.0	0.5	0.5	0.5
matched_random	matched_non_age_0004	M05	H3K27ac_blastocyst	H3K27ac	blastocyst	6	0.15143824027072758	0.9086294416243654	0.15143824027072758	0.16666666666666666	0.16666666666666666
matched_random	matched_non_age_0004	M05	H3K27me3_8cell	H3K27me3	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M05	H3K27me3_blastocyst	H3K27me3	blastocyst	6	0.2420814479638009	1.0	0.2420814479638009	0.3333333333333333	0.3333333333333333
matched_random	matched_non_age_0004	M05	H3K27me3_morula	H3K27me3	morula	6	0.08163265306122448	0.3979591836734694	0.08163265306122448	0.16666666666666666	0.3333333333333333
matched_random	matched_non_age_0004	M05	H3K4me3_8cell	H3K4me3	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M05	H3K4me3_blastocyst	H3K4me3	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M10	H3K27ac_8cell	H3K27ac	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M10	H3K27ac_blastocyst	H3K27ac	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M10	H3K27me3_8cell	H3K27me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M10	H3K27me3_blastocyst	H3K27me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M10	H3K27me3_morula	H3K27me3	morula	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M10	H3K4me3_8cell	H3K4me3	8cell	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M10	H3K4me3_blastocyst	H3K4me3	blastocyst	3	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M12	H3K27ac_8cell	H3K27ac	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M12	H3K27ac_blastocyst	H3K27ac	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M12	H3K27me3_8cell	H3K27me3	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M12	H3K27me3_blastocyst	H3K27me3	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M12	H3K27me3_morula	H3K27me3	morula	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M12	H3K4me3_8cell	H3K4me3	8cell	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0004	M12	H3K4me3_blastocyst	H3K4me3	blastocyst	4	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M01	H3K27ac_8cell	H3K27ac	8cell	21	0.10977363918540388	1.0	0.10977363918540388	0.14285714285714285	0.14285714285714285
matched_random	matched_non_age_0005	M01	H3K27ac_blastocyst	H3K27ac	blastocyst	21	0.14285714285714285	1.0	0.14285714285714285	0.14285714285714285	0.14285714285714285
matched_random	matched_non_age_0005	M01	H3K27me3_8cell	H3K27me3	8cell	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M01	H3K27me3_blastocyst	H3K27me3	blastocyst	21	0.03935458480913027	0.8264462809917356	0.03935458480913027	0.047619047619047616	0.047619047619047616
matched_random	matched_non_age_0005	M01	H3K27me3_morula	H3K27me3	morula	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M01	H3K4me3_8cell	H3K4me3	8cell	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M01	H3K4me3_blastocyst	H3K4me3	blastocyst	21	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M02	H3K27ac_8cell	H3K27ac	8cell	30	0.13333333333333333	1.0	0.13333333333333333	0.13333333333333333	0.13333333333333333
matched_random	matched_non_age_0005	M02	H3K27ac_blastocyst	H3K27ac	blastocyst	30	0.15881586511101173	1.0	0.15881586511101173	0.23333333333333334	0.23333333333333334
matched_random	matched_non_age_0005	M02	H3K27me3_8cell	H3K27me3	8cell	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M02	H3K27me3_blastocyst	H3K27me3	blastocyst	30	0.06666666666666667	1.0	0.06666666666666667	0.06666666666666667	0.06666666666666667
matched_random	matched_non_age_0005	M02	H3K27me3_morula	H3K27me3	morula	30	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M02	H3K4me3_8cell	H3K4me3	8cell	30	0.0375273887224274	0.46062992125984253	0.0375273887224274	0.06666666666666667	0.1
matched_random	matched_non_age_0005	M02	H3K4me3_blastocyst	H3K4me3	blastocyst	30	0.026007866273352997	0.4823008849557522	0.026007866273352997	0.03333333333333333	0.06666666666666667
matched_random	matched_non_age_0005	M05	H3K27ac_8cell	H3K27ac	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M05	H3K27ac_blastocyst	H3K27ac	blastocyst	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M05	H3K27me3_8cell	H3K27me3	8cell	6	0.0	0.0	0.0	0.0	0.0
matched_random	matched_non_age_0005	M05	H3K27me3_blastocyst	H3K27me3	blastocyst	6	0.16666666666666666	1.0	0.16666666666666666	0.16666666666666666	0.16666666666666666
matched_random	matched_non_age_0005	M05	H3K27me3_morula	H3K27me3	morula	6	0.0	0.0	0.0	0.0	0.0
