from_stage	to_stage	from_sample_id	to_sample_id	from_tau	to_tau	delta_tau	sample_coupling_weight	n_particle_couplings
MII oocyte	zygote/PN	GSM2481557	GSM2986329	0.0	0.16666666666666666	0.16666666666666666	0.0014453830365055871	9
MII oocyte	zygote/PN	GSM2481557	GSM2986330	0.0	0.16666666666666666	0.16666666666666666	0.0014560811905530734	9
MII oocyte	zygote/PN	GSM2481557	GSM2986331	0.0	0.16666666666666666	0.16666666666666666	0.0013436544149555227	9
MII oocyte	zygote/PN	GSM2481557	GSM2986332	0.0	0.16666666666666666	0.16666666666666666	9.953861158419767e-05	9
MII oocyte	zygote/PN	GSM2481557	GSM2986333	0.0	0.16666666666666666	0.16666666666666666	0.001123595078515186	9
MII oocyte	zygote/PN	GSM2481557	GSM2986334	0.0	0.16666666666666666	0.16666666666666666	3.0683367800859e-06	9
MII oocyte	zygote/PN	GSM2481557	GSM2986335	0.0	0.16666666666666666	0.16666666666666666	0.0011978115980212389	9
MII oocyte	zygote/PN	GSM2481557	GSM2986336	0.0	0.16666666666666666	0.16666666666666666	0.0004184706056557721	9
MII oocyte	zygote/PN	GSM2481570	GSM2481554	0.0	0.16666666666666666	0.16666666666666666	0.0012788734006496777	9
MII oocyte	zygote/PN	GSM2481570	GSM2481555	0.0	0.16666666666666666	0.16666666666666666	0.00120191985452568	9
MII oocyte	zygote/PN	GSM2481570	GSM2481558	0.0	0.16666666666666666	0.16666666666666666	0.0005367041338766767	9
MII oocyte	zygote/PN	GSM2481570	GSM2481559	0.0	0.16666666666666666	0.16666666666666666	0.0010555074205202185	9
MII oocyte	zygote/PN	GSM2481570	GSM2481560	0.0	0.16666666666666666	0.16666666666666666	0.00026921827451245947	9
MII oocyte	zygote/PN	GSM2481570	GSM2481561	0.0	0.16666666666666666	0.16666666666666666	0.0011022253143331824	9
MII oocyte	zygote/PN	GSM2481570	GSM2481562	0.0	0.16666666666666666	0.16666666666666666	0.0012181105138568758	9
MII oocyte	zygote/PN	GSM2481570	GSM2481563	0.0	0.16666666666666666	0.16666666666666666	0.0002734278155143338	9
MII oocyte	zygote/PN	GSM2481570	GSM2481564	0.0	0.16666666666666666	0.16666666666666666	0.0013905577581388797	9
MII oocyte	zygote/PN	GSM2481570	GSM2481565	0.0	0.16666666666666666	0.16666666666666666	3.716156444372551e-05	9
MII oocyte	zygote/PN	GSM2481570	GSM2481566	0.0	0.16666666666666666	0.16666666666666666	0.0013203232458741721	9
MII oocyte	zygote/PN	GSM2481570	GSM2481567	0.0	0.16666666666666666	0.16666666666666666	0.0012816958218524572	9
MII oocyte	zygote/PN	GSM2481570	GSM2481571	0.0	0.16666666666666666	0.16666666666666666	0.0005754721841020724	9
MII oocyte	zygote/PN	GSM2481570	GSM2481572	0.0	0.16666666666666666	0.16666666666666666	0.0012703722940700522	9
MII oocyte	zygote/PN	GSM2481570	GSM2481573	0.0	0.16666666666666666	0.16666666666666666	0.0013658002990161056	9
MII oocyte	zygote/PN	GSM2481570	GSM2481574	0.0	0.16666666666666666	0.16666666666666666	0.0014143071639945038	9
MII oocyte	zygote/PN	GSM2481570	GSM2481575	0.0	0.16666666666666666	0.16666666666666666	0.0013591567083577393	9
MII oocyte	zygote/PN	GSM2481570	GSM2481576	0.0	0.16666666666666666	0.16666666666666666	0.000640980359338112	9
MII oocyte	zygote/PN	GSM2481570	GSM2481577	0.0	0.16666666666666666	0.16666666666666666	0.0002118269391845738	9
MII oocyte	zygote/PN	GSM2481570	GSM2481578	0.0	0.16666666666666666	0.16666666666666666	0.001378621580218548	9
MII oocyte	zygote/PN	GSM2481570	GSM2986327	0.0	0.16666666666666666	0.16666666666666666	0.001238206602679808	9
MII oocyte	zygote/PN	GSM2481570	GSM2986328	0.0	0.16666666666666666	0.16666666666666666	9.00777458759386e-05	9
MII oocyte	zygote/PN	GSM2481570	GSM2986329	0.0	0.16666666666666666	0.16666666666666666	0.0014217906424489409	9
MII oocyte	zygote/PN	GSM2481570	GSM2986330	0.0	0.16666666666666666	0.16666666666666666	0.0014387565719201428	9
MII oocyte	zygote/PN	GSM2481570	GSM2986331	0.0	0.16666666666666666	0.16666666666666666	0.0013872610542193689	9
MII oocyte	zygote/PN	GSM2481570	GSM2986332	0.0	0.16666666666666666	0.16666666666666666	0.00012733540814288818	9
MII oocyte	zygote/PN	GSM2481570	GSM2986333	0.0	0.16666666666666666	0.16666666666666666	0.0011747362200200946	9
MII oocyte	zygote/PN	GSM2481570	GSM2986334	0.0	0.16666666666666666	0.16666666666666666	4.089992292112797e-06	9
MII oocyte	zygote/PN	GSM2481570	GSM2986335	0.0	0.16666666666666666	0.16666666666666666	0.001205015248263376	9
MII oocyte	zygote/PN	GSM2481570	GSM2986336	0.0	0.16666666666666666	0.16666666666666666	0.0005082456455346183	9
MII oocyte	zygote/PN	GSM2481581	GSM2481554	0.0	0.16666666666666666	0.16666666666666666	0.0006148689047035672	9
