cluster_name	selection_frequency_top10	selection_frequency_top25	selection_frequency_top50	selection_frequency_top100	mean_rank	rank_std	residual_contribution_mean	residual_contribution_q025	residual_contribution_q975	module_id	basin_residual_rank	abs_latent_residual_delta_beta
cluster_1742	0.03	1.0	1.0	1.0	12.544	0.8877296885876709	0.11005152243882053	0.09387745739848952	0.12553650953439757	M08	13	0.1109335240179164
cluster_1758	0.0	0.0	0.912	1.0	42.672	6.787371803577604	0.04176631555395507	0.026173680181069626	0.0579953480587185	M01	43	0.04146978517954862
cluster_1764	0.0	0.238	0.888	0.998	34.94	13.7161364822606	-0.05705294140086292	-0.08632796384218945	-0.025395875076314245	M15	34	0.056940770422262976
cluster_1806	0.0	0.0	0.0	1.0	68.166	3.451151112310356	0.022385780018361154	0.01584541563529035	0.03154643311117579	M06	66	0.02256839104433494
cluster_1851	0.0	0.0	0.0	0.0	125.468	6.121844166589012	-0.005905070240342621	-0.00744819329033348	-0.0043892407491935	M02	130	0.0059938138733272965
cluster_1921	0.0	0.0	0.0	0.006	138.558	13.242606843065397	-0.0023102501633534807	-0.010967532342481863	0.005602089223371612	M08	149	0.002029294124489151
cluster_1922	0.0	0.0	0.0	0.084	126.142	18.188948182893935	0.00614831335356387	-0.0031560511826029002	0.016086644655303597	M04	129	0.006386715826850186
cluster_1976	0.0	0.0	0.0	0.286	116.762	25.131919067194207	-0.007073414046693994	-0.022542204446503386	0.0087231255310974	M01	119	0.0077316862708786726
cluster_2004	0.0	0.0	0.0	0.924	86.256	8.915518156562726	0.016142257620237414	0.009187878640212392	0.02625298325771133	M11	82	0.016083742427707402
cluster_2126	0.0	0.0	0.0	1.0	74.548	8.240855295416806	0.020360342177116523	0.011869681159018212	0.032658598197219287	M02	72	0.020437472066274085
cluster_2190	0.0	0.514	1.0	1.0	25.162	3.017905896478568	0.0706707209408852	0.05892038472425537	0.08674793464134162	M12	25	0.07108962890199759
cluster_2324	0.0	0.0	0.006	0.974	72.288	12.093347592788382	0.020915853978253664	0.010538862766130854	0.03295628461326633	M14	71	0.020674366566264403
cluster_2355	0.0	0.0	0.0	0.092	124.548	18.97102253438118	0.006155131391789864	-0.0029645849019014647	0.014720666845758587	M11	131	0.00582188590766739
cluster_2365	0.0	0.012	0.74	0.974	46.602	18.574810793114434	-0.04084555060707811	-0.07362612278088401	-0.010330262561307181	M07	42	0.04206595171579531
cluster_2623	1.0	1.0	1.0	1.0	1.36	0.4841487374764079	-0.19616502693107368	-0.23241934902654768	-0.15307513078071416	M05	1	0.1966477625952775
cluster_2637	0.0	0.0	0.0	0.084	129.472	20.14004011912578	-0.0011740648900104922	-0.013437608623328198	0.013400849840200312	M06	153	0.0010649187275356589
cluster_2727	0.0	0.0	0.0	0.198	113.334	13.860535487491056	0.009019904879501838	0.002165320518648632	0.018810896622468605	M02	111	0.00904892991849292
cluster_2743	0.288	1.0	1.0	1.0	11.19	1.3213250924734685	-0.11691562169006342	-0.1380088880601485	-0.09559348711849895	M07	11	0.11797099778706846
cluster_2776	0.0	0.0	0.054	0.91	73.528	19.904502405234823	-0.021706737354857588	-0.03718265501373102	-0.006511949964961488	M14	68	0.02243036316972645
cluster_2832	0.0	0.0	0.0	0.0	138.772	12.346984085192858	0.0037733396428374874	-0.0017691281015122379	0.011798258489083899	M02	143	0.0037662201832184663
cluster_2910	0.0	0.0	0.0	0.004	139.114	13.150855637562184	0.0012736577306492343	-0.00671449139863498	0.01014136901724935	M00	152	0.0014337262853429446
cluster_3123	0.0	0.0	0.012	0.476	103.356	29.62723854833591	0.010767453099161552	-0.00830792453290378	0.02969554262467378	M01	107	0.01009258102470434
cluster_3133	0.0	0.0	0.0	0.926	77.116	15.495500766351507	-0.01984796436410235	-0.031466432747917404	-0.008249512941687775	M14	73	0.020431413895555767
cluster_3227	0.0	0.0	0.0	0.79	83.444	18.394642263441813	0.0181578287815941	0.0045980377887531055	0.03666073629838241	M00	79	0.01829822903116026
cluster_3275	0.96	1.0	1.0	1.0	5.852	1.8237587559762392	-0.14197373112521863	-0.17468422725407948	-0.10637735960305107	M05	5	0.1422064863349969
cluster_3303	0.0	0.0	0.0	0.066	114.168	10.19292774427434	0.008656510760384343	0.0031775655982963706	0.016231048111649517	M02	116	0.00859391110693345
cluster_3336	0.0	0.0	0.0	0.0	145.556	2.7595043033116613	0.0024656034884206262	0.0016181883115107183	0.0034138135722650642	M02	147	0.002450568520396189
cluster_3348	0.0	0.002	0.996	1.0	37.168	4.0831086196671444	0.047060819692404325	0.03510455618973265	0.0644146638077037	M02	37	0.04738931923287908
cluster_3362	0.0	0.0	0.0	0.162	123.39	20.045894841587902	0.006948890026558114	-0.0031230238413547623	0.02087519210695515	M02	124	0.006995009743539481
cluster_3369	0.0	0.0	0.0	0.0	123.576	7.1732993803410565	0.006750145588292995	0.0028555033744904865	0.01221319920991051	M02	126	0.0067836463293485735
