cluster_name	module_id	branch	beta_8cell	beta_morula	beta_blastocyst	entry_change	exit_change	curvature	rebound_ratio	is_u_shape	is_inverted_u	basin_residual_rank
cluster_4404	M01	closure	0.4645995667350345	0.2333333333333333	0.156578947368421	-0.2312662334017012	-0.0767543859649123	0.1545118474367889	0.33188756021836	False	False	15
cluster_4420	M06	other	0.0665303831970498	0.0	0.02	-0.0665303831970498	0.02	0.08653038319704981	0.3006145318667916	True	False	118
cluster_4449	M13	other	0.0222222222222222	0.0	0.2533333333333333	-0.0222222222222222	0.2533333333333333	0.2755555555555555	11.399999999487012	True	False	78
cluster_4532	M13	other	0.0554208754208754	1.0	0.3	0.9445791245791246	-0.7	-1.6445791245791246	0.7410707920431306	False	True	57
cluster_4538	M01	closure	1.0	1.0	0.325	0.0	-0.675	-0.675	675000000000.0	False	False	96
cluster_4551	M00	other	0.0074074074074074	0.0	0.125	-0.0074074074074074	0.125	0.1324074074074074	16.87499999772189	True	False	105
cluster_4593	M06	other	0.0546783625730994	0.0	0.0285714285714285	-0.0546783625730994	0.0285714285714285	0.08324979114452791	0.5225362872326119	True	False	112
cluster_4605	M01	closure	0.35	0.45	0.36	0.10000000000000003	-0.09000000000000002	-0.19000000000000006	0.8999999999909999	False	True	9
cluster_483	M11	other	0.0296296296296296	0.0	0.0	-0.0296296296296296	0.0	0.0296296296296296	0.0	False	False	80
cluster_4889	M01	closure	0.3374842603955989	0.4714285714285714	0.3431438127090301	0.1339443110329725	-0.12828475871954131	-0.26222906975251375	0.957746975061929	False	True	84
cluster_4897	M06	other	0.0055555555555555	0.0	0.0	-0.0055555555555555	0.0	0.0055555555555555	0.0	False	False	89
cluster_4899	M00	other	0.0577777777777777	0.0	0.1333333333333333	-0.0577777777777777	0.1333333333333333	0.191111111111111	2.3076923076523697	True	False	121
cluster_4904	M12	closure	0.5	0.0	0.0	-0.5	0.0	0.5	0.0	False	False	18
cluster_4907	M08	other	0.4320658141347797	0.2321428571428571	0.2205128205128204	-0.19992295699192258	-0.0116300366300367	0.18829292036188588	0.05817259210731067	False	False	54
cluster_4909	M15	other	0.6099999999999998	0.0	0.5755555555555556	-0.6099999999999998	0.5755555555555556	1.1855555555555553	0.943533697630512	True	False	39
cluster_4920	M13	other	0.0816198070934913	0.1354166666666666	0.3901449275362319	0.0537968595731753	0.25472826086956535	0.20093140129639003	4.735002431105577	False	False	75
cluster_5002	M01	closure	0.4900816503341478	0.094551282051282	0.4819085843709646	-0.3955303682828658	0.38735730231968263	0.7828876706025484	0.9793364388184791	True	False	28
cluster_5020	M00	other	0.0426166426166426	0.0208333333333333	0.0908385093167701	-0.0217833092833093	0.0700051759834368	0.0917884852667461	3.213707112622328	True	False	83
cluster_5024	M02	access	0.0	0.0	0.04	0.0	0.04	0.04	40000000000.0	False	False	136
cluster_5064	M07	other	0.0809598915911208	0.0	0.0281733746130031	-0.0809598915911208	0.0281733746130031	0.10913326620412389	0.34799175318738934	True	False	56
cluster_5215	M13	other	0.0795991045991045	1.0	0.25	0.9204008954008955	-0.75	-1.6704008954008955	0.8148623102680821	False	True	65
cluster_5240	M06	other	0.0644444444444444	0.0	0.0	-0.0644444444444444	0.0	0.0644444444444444	0.0	False	False	50
cluster_5252	M15	other	0.0222222222222222	0.0	1.0	-0.0222222222222222	1.0	1.0222222222222221	44.99999999797505	True	False	139
cluster_5307	M02	access	0.0111111111111111	0.0	0.06	-0.0111111111111111	0.06	0.0711111111111111	5.399999999514005	True	False	148
cluster_5336	M06	other	0.0833333333333333	0.0	0.0	-0.0833333333333333	0.0	0.0833333333333333	0.0	False	False	115
cluster_5400	M02	access	0.0197879401361995	0.0	0.0158947970268725	-0.0197879401361995	0.0158947970268725	0.035682737163072	0.8032567774445482	True	False	125
