cluster_name	module_id	basin_residual_rank	y_morula_observed	x_8cell	y_pred_meth_only	c_diag	u_morula_acc_mean	u_morula_minus_8cell	curvature	is_inverted_u	is_u_shape	signed_residual_dir
cluster_6975	M03	36.0	1.0	0.7148148148148149	0.7931377335853292	0.20686226641467076	1.34243392	1.581534762	-0.8351851851851853	True	False	-1.0
cluster_3348	M02	37.0	1.0	0.02564102564102564	0.01389451990207521	0.9861054800979248	0.1430032778095238	-0.10056146914285713	-1.9743589743589745	True	False	1.0
cluster_5977	M06	38.0	1.0	0.06802425506823308	0.03411400420129835	0.9658859957987016	0.4598605983636362	0.11672538509090905	-1.8871272600832825	True	False	1.0
cluster_4909	M15	39.0	0.0	0.6099999999999998	0.002513277623058093	-0.002513277623058093			1.1855555555555553	False	True	1.0
cluster_1718	M00	40.0	0.7	0.1469208776971304	0.022796637727968475	0.6772033622720315	0.5087951024	0.39708280420000003	-1.1316756135309396	True	False	1.0
cluster_6532	M09	41.0	0.09375	0.3156073437703985	0.22748718962807785	-0.13373718962807785	0.2810479545000001	-0.475377462125	0.2147136786120274	False	False	1.0
cluster_2365	M07	42.0	0.046875	0.3740033816558312	0.08545076075815014	-0.03857576075815014	0.8863012990000001	0.8214965209999999	0.316970173635781	False	False	-1.0
cluster_1758	M01	43.0	0.5	0.9762962962962964	0.0	0.5	0.7568651953999999	0.5715323594	0.10962962962962974	False	False	1.0
cluster_6604	M03	44.0	0.8898809523809523	0.9893365893365892	0.9604834199003937	-0.07060246751944133	0.2810479545000001	-0.475377462125	-0.16542531542531547	False	False	1.0
cluster_3519	M01	45.0	0.33035714285714285	0.5114529343630538	0.2573559715813074	0.07300117127583544	0.39122289480000016	-0.046378094400000014	0.3027283127314556	False	True	-1.0
cluster_916	M02	46.0	1.0	0.0	0.0	1.0	-0.131902419	-0.28845465600000003	-2.0	True	False	1.0
cluster_3684	M02	47.0	0.0	0.08222222222222222	0.09988874500083121	-0.09988874500083121	0.48492230299999994	0.1693516439999998	0.0822222222222222	False	False	1.0
