iter	morula_rank_lowest_is_1	lowest_stage	morula_weighted_methylation
742	4	Zygote	0.5845344703502354
743	3	2-cell	0.5027667208660679
744	2	4-cell	0.28201544301699866
745	2	Zygote	0.40480836569076883
746	1	Morula	0.17419343716744243
747	2	4-cell	0.3616594087080124
748	2	2-cell	0.40737128096056313
749	2	2-cell	0.36698550869024454
750	4	Zygote	0.3876820019754941
751	1	Morula	0.26519652811019434
752	2	2-cell	0.24366465097147208
753	2	2-cell	0.15005774061005506
754	3	Epiblast	0.33875586269222546
755	4	2-cell	0.33310876946145074
756	2	2-cell	0.2188846468286169
757	1	Morula	0.22909233348346214
758	2	2-cell	0.21615560163951614
759	3	Epiblast	0.38973869132519506
760	1	Morula	0.09933290946495155
761	2	Epiblast	0.39841871007513896
762	1	Morula	0.3022422897945438
763	3	4-cell	0.41561115244079294
764	1	Morula	-0.18077908399621478
765	6	2-cell	0.6571902608824097
766	3	2-cell	0.09806774905702634
767	6	Zygote	0.5164219970402912
768	1	Morula	0.191194418633082
769	3	2-cell	0.011754750933125106
770	1	Morula	0.267002521624051
771	2	4-cell	0.2455601388379546
772	1	Morula	0.13002800054819785
773	1	Morula	0.35096172939105963
774	3	4-cell	0.3378314135512893
775	1	Morula	0.19961547937063082
776	3	2-cell	0.43210688096339955
777	2	Zygote	0.25361242709133003
778	1	Morula	0.2667268587049078
779	2	Zygote	0.16438921145378346
