sample_id	stage	stage_order	tau	A	P	Hm	Hr	n_age_regions_used	n_observed_regions	observed_region_fraction
GSM2481549	4-cell	3	0.5	0.3226722468166667	0.1613803489635903	0.0238507530621636	0.5851144881755997	66	66	0.4230769230769231
GSM2481550	4-cell	3	0.5	0.1814525466439305	0.1613803489635903	0.044087865478993	0.5851144881755997	74	74	0.47435897435897434
GSM2481551	4-cell	3	0.5	0.1256540403972593	0.1613803489635903	0.0033147675066067	0.5851144881755997	50	50	0.32051282051282054
GSM2481552	4-cell	3	0.5	0.5218715958000245	0.1613803489635903	0.0	0.5851144881755997	50	50	0.32051282051282054
GSM2986360	4-cell	3	0.5	0.6276263137954569	0.1613803489635903	0.562004521900457	0.5851144881755997	118	118	0.7564102564102564
GSM2986361	4-cell	3	0.5	0.3968062413862697	0.1613803489635903	0.3807111956335514	0.5851144881755997	117	117	0.75
GSM2986362	4-cell	3	0.5	0.4817481429973256	0.1613803489635903	0.3394103861750551	0.5851144881755997	108	108	0.6923076923076923
GSM2986363	4-cell	3	0.5	0.3143721804539274	0.1613803489635903	0.1470708464916801	0.5851144881755997	76	76	0.48717948717948717
GSM2986364	4-cell	3	0.5	0.5263698459604418	0.1613803489635903	0.5680889305149979	0.5851144881755997	123	123	0.7884615384615384
GSM2986365	4-cell	3	0.5	0.3321319745867889	0.1613803489635903	0.5184875941067217	0.5851144881755997	125	125	0.8012820512820513
GSM2986366	4-cell	3	0.5	0.5369076229189185	0.1613803489635903	0.4306591642661793	0.5851144881755997	120	120	0.7692307692307693
GSM2986367	4-cell	3	0.5	0.4926117520074385	0.1613803489635903	0.5046344236056396	0.5851144881755997	118	118	0.7564102564102564
GSM2481618	8-cell	4	0.6666666666666666	0.2339061941025194	1.0	0.0615512175475532	0.236677099959947	41	41	0.26282051282051283
GSM2481619	8-cell	4	0.6666666666666666	0.303812368670579	1.0	0.0913947953535104	0.236677099959947	46	46	0.2948717948717949
GSM2481620	8-cell	4	0.6666666666666666	0.1379385358756625	1.0	0.0464277670994694	0.236677099959947	38	38	0.24358974358974358
GSM2481621	8-cell	4	0.6666666666666666	0.2821469426074534	1.0	0.0980491321957662	0.236677099959947	44	44	0.28205128205128205
GSM2481622	8-cell	4	0.6666666666666666	0.2994636746746222	1.0	0.066988100221651	0.236677099959947	36	36	0.23076923076923078
GSM2481623	8-cell	4	0.6666666666666666	0.4066401731044553	1.0	0.0933849422909647	0.236677099959947	50	50	0.32051282051282054
GSM2481624	8-cell	4	0.6666666666666666	0.3199654720486978	1.0	0.1180855885854594	0.236677099959947	55	55	0.3525641025641026
GSM2481626	8-cell	4	0.6666666666666666	0.1195333733959763	1.0	0.0656876113940708	0.236677099959947	46	46	0.2948717948717949
GSM2481627	8-cell	4	0.6666666666666666	0.6540375558212489	1.0	0.0223688073869255	0.236677099959947	25	25	0.16025641025641027
GSM2481628	8-cell	4	0.6666666666666666	0.5264216104266164	1.0	0.3019260009277414	0.236677099959947	103	103	0.6602564102564102
GSM2481629	8-cell	4	0.6666666666666666	0.4270127114960005	1.0	0.27692414776046	0.236677099959947	82	82	0.5256410256410257
GSM2481630	8-cell	4	0.6666666666666666	0.4824291787778921	1.0	0.3341656730920812	0.236677099959947	92	92	0.5897435897435898
