stage	tau	cluster_name	mean_beta
2-cell	0.3333333333333333	cluster_4593	0.0969298245614035
2-cell	0.3333333333333333	cluster_4605	0.4457142857142856
2-cell	0.3333333333333333	cluster_4889	0.21980807103295447
2-cell	0.3333333333333333	cluster_4897	0.15
2-cell	0.3333333333333333	cluster_4899	0.029166666666666667
2-cell	0.3333333333333333	cluster_4904	0.05
2-cell	0.3333333333333333	cluster_4907	0.2599446386946387
2-cell	0.3333333333333333	cluster_4909	0.11555555555555555
2-cell	0.3333333333333333	cluster_4920	0.08520358491071353
2-cell	0.3333333333333333	cluster_5002	0.40171107123899974
2-cell	0.3333333333333333	cluster_5020	0.12549351723392033
2-cell	0.3333333333333333	cluster_5024	0.041666666666666664
2-cell	0.3333333333333333	cluster_5064	0.09652315822680752
2-cell	0.3333333333333333	cluster_5215	0.17106060606060608
2-cell	0.3333333333333333	cluster_5240	0.075
2-cell	0.3333333333333333	cluster_5252	0.0
2-cell	0.3333333333333333	cluster_5307	0.0
2-cell	0.3333333333333333	cluster_5336	0.09928571428571428
2-cell	0.3333333333333333	cluster_5400	0.004470877768662838
2-cell	0.3333333333333333	cluster_5447	0.0
2-cell	0.3333333333333333	cluster_5516	0.125
2-cell	0.3333333333333333	cluster_5580	0.025
2-cell	0.3333333333333333	cluster_5599	0.08607142857142858
2-cell	0.3333333333333333	cluster_5608	0.08107284038450972
2-cell	0.3333333333333333	cluster_5656	0.05166666666666666
2-cell	0.3333333333333333	cluster_5659	0.13333333333333333
2-cell	0.3333333333333333	cluster_5661	0.903125
2-cell	0.3333333333333333	cluster_5678	0.4226190476190477
2-cell	0.3333333333333333	cluster_5679	0.38907635467980295
2-cell	0.3333333333333333	cluster_5760	0.08885022948041388
2-cell	0.3333333333333333	cluster_5923	0.2001124437781109
2-cell	0.3333333333333333	cluster_5928	0.16060606060606059
2-cell	0.3333333333333333	cluster_5966	0.0
2-cell	0.3333333333333333	cluster_5977	0.05455090718248612
2-cell	0.3333333333333333	cluster_6020	0.03670634920634921
2-cell	0.3333333333333333	cluster_6087	0.2
2-cell	0.3333333333333333	cluster_6114	0.4380275923240976
2-cell	0.3333333333333333	cluster_6143	0.05
2-cell	0.3333333333333333	cluster_6163	0.13541754139580225
2-cell	0.3333333333333333	cluster_6171	0.11330266357206012
2-cell	0.3333333333333333	cluster_6262	0.16166666666666668
2-cell	0.3333333333333333	cluster_6275	0.04199134199134199
2-cell	0.3333333333333333	cluster_6400	0.1236491090562027
2-cell	0.3333333333333333	cluster_6406	0.016666666666666666
2-cell	0.3333333333333333	cluster_6410	0.01986238793064215
2-cell	0.3333333333333333	cluster_6442	0.05
2-cell	0.3333333333333333	cluster_6495	0.2604291541791542
2-cell	0.3333333333333333	cluster_6498	0.05
2-cell	0.3333333333333333	cluster_6518	0.057179487179487176
2-cell	0.3333333333333333	cluster_6532	0.34361354225484664
2-cell	0.3333333333333333	cluster_6604	0.6816468253968253
2-cell	0.3333333333333333	cluster_6651	0.6725003504296672
2-cell	0.3333333333333333	cluster_6655	0.4160415928157864
2-cell	0.3333333333333333	cluster_6871	0.019180113468906572
2-cell	0.3333333333333333	cluster_6892	0.05
2-cell	0.3333333333333333	cluster_6960	0.35
2-cell	0.3333333333333333	cluster_6975	0.9166666666666667
2-cell	0.3333333333333333	cluster_7000	0.008125
2-cell	0.3333333333333333	cluster_7042	0.11606060606060606
2-cell	0.3333333333333333	cluster_7052	0.2372727272727273
2-cell	0.3333333333333333	cluster_7072	0.4875516550573759
2-cell	0.3333333333333333	cluster_7095	0.08581932773109244
2-cell	0.3333333333333333	cluster_7341	0.9777777777777776
2-cell	0.3333333333333333	cluster_7425	0.14747474747474745
2-cell	0.3333333333333333	cluster_7504	0.125406408177306
2-cell	0.3333333333333333	cluster_7612	0.1388682696158698
2-cell	0.3333333333333333	cluster_7683	0.052739982123269705
4-cell	0.5	cluster_23	0.0524742648655692
4-cell	0.5	cluster_67	0.0
4-cell	0.5	cluster_123	0.05434557348256661
4-cell	0.5	cluster_125	0.06098515519568151
4-cell	0.5	cluster_126	0.05454405243878927
4-cell	0.5	cluster_242	0.15296969696969698
4-cell	0.5	cluster_293	0.01
4-cell	0.5	cluster_315	0.026666666666666665
4-cell	0.5	cluster_386	0.05187878787878788
4-cell	0.5	cluster_483	0.055999999999999994
4-cell	0.5	cluster_543	0.1
4-cell	0.5	cluster_587	0.0
4-cell	0.5	cluster_618	0.03
4-cell	0.5	cluster_634	0.04
4-cell	0.5	cluster_643	0.1957065736004469
4-cell	0.5	cluster_652	0.047142857142857146
4-cell	0.5	cluster_832	0.47611111111111115
4-cell	0.5	cluster_840	0.04
4-cell	0.5	cluster_883	0.022857142857142857
4-cell	0.5	cluster_900	0.04
4-cell	0.5	cluster_915	0.10069003069003069
4-cell	0.5	cluster_916	0.006666666666666666
