cluster_name	observed_beta	baseline_predicted_beta	baseline_abs_error	baseline_sq_error	DMR_module_ridge_k16_predicted_beta	DMR_module_ridge_k16_abs_error	DMR_module_ridge_k16_sq_error	DMR_module_ridge_k16_abs_error_improvement_vs_baseline	DMR_module_ridge_k16_sq_error_improvement_vs_baseline	latent_PCA_ridge_q3_predicted_beta	latent_PCA_ridge_q3_abs_error	latent_PCA_ridge_q3_sq_error	latent_PCA_ridge_q3_abs_error_improvement_vs_baseline	latent_PCA_ridge_q3_sq_error_improvement_vs_baseline
cluster_3967	0.0	0.06203176447854532	0.06203176447854532	0.0038479398043217167	0.054367465953769664	0.054367465953769664	0.0029558213542343038	0.007664298524775653	0.000892118450087413	0.05810064842954207	0.05810064842954207	0.0033756853479332497	0.003931116049003244	0.000472254456388467
cluster_3978	0.05555555555555551	0.006913580246913581	0.04864197530864193	0.002366041761926531	0.005016421809653733	0.05053913374590178	0.002554204039786148	-0.0018971584372598493	-0.0001881622778596168	0.048414534223450566	0.007141021332104945	5.099418566557788e-05	0.04150095397653698	0.002315047576260953
cluster_4026	1.0	0.3733333333333333	0.6266666666666667	0.3927111111111112	0.5035229554676958	0.49647704453230423	0.2464894557475316	0.13018962213436247	0.1462216553635796	0.5221964970505988	0.4778035029494012	0.22829618743071844	0.1488631637172655	0.16441492368039273
cluster_4028	0.0	0.0206927575348628	0.0206927575348628	0.0004281902143966211	0.03482638827676349	0.03482638827676349	0.0012128773204038892	-0.014133630741900688	-0.0007846871060072681	0.022986640294003092	0.022986640294003092	0.0005283856320058866	-0.002293882759140293	-0.00010019541760926545
cluster_4064	0.0	0.040039232408337344	0.040039232408337344	0.0016031401318488516	0.031584372353964	0.031584372353964	0.0009975725769938457	0.00845486005437334	0.0006055675548550059	0.0473760528787382	0.0473760528787382	0.0022444903863689985	-0.007336820470400858	-0.0006413502545201469
cluster_4084	0.09347943722943722	0.12296980558201569	0.02949036835257847	0.0008696818255707618	0.09499118732903909	0.0015117500996018746	2.2853883636462777e-06	0.027978618252976595	0.0008673964372071156	0.1616452494266724	0.06816581219723519	0.004646577952508738	-0.03867544384465672	-0.0037768961269379767
cluster_4141	0.0	0.4925925925925925	0.4925925925925925	0.24264746227709183	0.12905365685247688	0.12905365685247688	0.016654846346996852	0.36353893574011564	0.22599261593009498	0.4050035141124927	0.4050035141124927	0.16402784644346807	0.08758907848009984	0.07861961583362376
cluster_4364	0.0	0.2263080271735733	0.2263080271735733	0.051215323163194784	0.18081651338462826	0.18081651338462826	0.03269461151257345	0.04549151378894503	0.018520711650621337	0.18786979628141381	0.18786979628141381	0.03529506035481993	0.038438230892159475	0.015920262808374858
cluster_4373	0.0	0.4720105820105821	0.4720105820105821	0.22279398952996846	0.24818961536475048	0.24818961536475048	0.06159808517490279	0.22382096664583162	0.16119590435506567	0.5032028316131112	0.5032028316131112	0.25321308974345313	-0.031192249602529087	-0.03041910021348468
cluster_4404	0.23333333333333334	0.46459956673503455	0.23126623340170122	0.05348407071181014	0.27033825187299043	0.037004918539657095	0.0013693639961266572	0.19426131486204412	0.05211470671568348	0.3944230596110404	0.16108972627770707	0.025949899912226588	0.07017650712399415	0.027534170799583552
