particle_id	stage	A	Hm	P	Hr	to_stage	vA	vHm	vP	vHr	transition_order
8-cell:0017	8-cell	0.7496846499076497	0.0566210796892917	0.7387540714131886	0.6379403930376567	morula	-0.4268548340408387	0.07391239135595881	-0.02963236798457136	-0.02755181634874826	4
8-cell:0018	8-cell	0.5120748339296367	0.2290001352155846	0.773245881587239	0.6257928075401988	morula	-0.2698665362050817	-0.12432977507522067	-0.02976981652584265	-0.009785624340755805	4
8-cell:0019	8-cell	0.9987188525905356	0.0051383612397719	0.7396419086937219	0.6245811339000737	morula	-0.5588429863073803	0.21930873271253648	-0.030156238877617647	-0.014573790115663954	4
8-cell:0020	8-cell	0.303812368670579	0.0913947953535104	0.7387540714131886	0.6379403930376567	morula	-0.16643748073453402	-0.052434848997302066	-0.03150188262129627	-0.027913839984703315	4
8-cell:0021	8-cell	0.303812368670579	0.0913947953535104	0.7387540714131886	0.6379403930376567	morula	-0.16643748073453402	-0.052434848997302066	-0.03150188262129627	-0.027913839984703315	4
8-cell:0022	8-cell	0.4824291787778921	0.3341656730920812	0.7387540714131886	0.6379403930376567	morula	-0.2105146202103086	-0.19336595092816633	-0.029498263388043067	-0.027525914586117528	4
8-cell:0023	8-cell	0.5815953577996053	0.4548901848146299	0.7387540714131886	0.6379403930376567	morula	-0.15503749746506973	-0.17793213579939576	-0.02646293373062425	-0.026938038848289603	4
8-cell:0024	8-cell	0.4902012800184069	0.1878494268745751	0.8491137009057914	0.6449523793200949	morula	-0.2774055854513071	-0.10774519065165274	-0.05521631390712789	-0.021550713510988473	4
8-cell:0025	8-cell	0.5162640619569578	0.2513916873872341	0.8491137009057914	0.6449523793200949	morula	-0.2599992915583567	-0.1335495225962644	-0.05495560778821196	-0.02152234088370275	4
8-cell:0026	8-cell	0.4270127114960005	0.27692414776046	0.7072835152390234	0.6312326613996714	morula	-0.2240521888608166	-0.19317182192965415	-0.04686238985276947	-0.030357713504726713	4
8-cell:0027	8-cell	0.9987188525905356	0.0051383612397719	0.7985497790472389	0.6095261868581832	morula	-0.5583239480096889	0.21997598879872082	-0.034402035616017956	0.00918739499568777	4
8-cell:0028	8-cell	0.2339061941025194	0.0615512175475532	0.8491137009057914	0.6449523793200949	morula	-0.10977372191412603	-0.024771211147744575	-0.05543888636699923	-0.021574756336050105	4
8-cell:0029	8-cell	0.4990287767962434	0.319062271634388	0.7947118524982967	0.6227863445181651	morula	-0.22052622308175135	-0.1752603546099859	-0.033191758942449745	-0.00402075305127525	4
8-cell:0030	8-cell	0.6370563764632	0.4557489658498195	0.7072835152390234	0.6312326613996714	morula	-0.18095599608897533	-0.15628297225096482	-0.04044100420035135	-0.029065523132492	4
8-cell:0031	8-cell	0.5293480757974359	0.3492539065839713	0.7831642485492523	0.621533700130451	morula	-0.20460728711016885	-0.1656323751041257	-0.03039322506724007	-0.0041489145940056815	4
8-cell:0032	8-cell	0.4270127114960005	0.27692414776046	0.8303856033831534	0.6451619759076852	morula	-0.22342782315796966	-0.19250395691772593	-0.04540244130636484	-0.022587636198724614	4
8-cell:0033	8-cell	0.546028947861116	0.4412613757000745	0.773245881587239	0.6257928075401988	morula	-0.14980884513082204	-0.18942861907342656	-0.02743923855722985	-0.009366101043530084	4
8-cell:0034	8-cell	0.4066401731044553	0.0933849422909647	0.8319041348127003	0.6626625796665148	morula	-0.24511171518951727	-0.047300444166087585	-0.04552966847755502	-0.03936792236899589	4
8-cell:0035	8-cell	0.5162640619569578	0.2513916873872341	0.8491137009057914	0.6449523793200949	morula	-0.25999929155835677	-0.1335495225962644	-0.05495560778821207	-0.021522340883702862	4
8-cell:0036	8-cell	0.546028947861116	0.4412613757000745	0.8303856033831534	0.6451619759076852	morula	-0.1493842656556011	-0.189032637500208	-0.04399729905089511	-0.02240377355158163	4
8-cell:0037	8-cell	0.4403634246719825	0.3411417523207073	0.7947118524982967	0.6227863445181651	morula	-0.2006964502594251	-0.22345571879350057	-0.03352687673129506	-0.004076592936417378	4
8-cell:0038	8-cell	0.5958980454735453	0.0460829545988217	0.773245881587239	0.6257928075401988	morula	-0.36675439517073216	0.024425089739346352	-0.030307128396255267	-0.009882405709699671	4
8-cell:0039	8-cell	0.6540375558212489	0.0223688073869255	0.7831642485492523	0.621533700130451	morula	-0.4012629337608787	0.056767525081797415	-0.0318849323170004	-0.004409707770890781	4
8-cell:0040	8-cell	0.51359044901543	0.3437143434047256	0.7831642485492523	0.621533700130451	morula	-0.20678857890776592	-0.17480088137576458	-0.030610088366102017	-0.004186782625528962	4
8-cell:0041	8-cell	0.0	0.0132598185103957	0.8319041348127003	0.6626625796665148	morula	0.09308889022384087	0.022166078912972155	-0.04536968421010512	-0.039346869392426376	4
8-cell:0042	8-cell	0.303812368670579	0.0913947953535104	0.773245881587239	0.6257928075401988	morula	-0.16645210839781585	-0.052423066262861695	-0.03067053581809398	-0.009947627329277342	4
8-cell:0043	8-cell	0.582936320325133	0.4229847889065473	0.7072835152390234	0.6312326613996714	morula	-0.1717691194876413	-0.1616813431853461	-0.041653931785979315	-0.029309706617217657	4
8-cell:0044	8-cell	0.303812368670579	0.0913947953535104	0.8319041348127003	0.6626625796665148	morula	-0.16647000197814682	-0.052408683637515684	-0.04554869298025177	-0.039370229305161764	4
8-cell:0045	8-cell	0.5109674187943082	0.3250427671809312	0.7396419086937219	0.6245811339000737	morula	-0.21872453559029797	-0.17007803591474682	-0.032041410273094706	-0.01493962382750691	4
8-cell:0046	8-cell	0.2821469426074534	0.0980491321957662	0.7985497790472389	0.6095261868581832	morula	-0.14896221575432567	-0.0597282091158137	-0.03682861600598286	0.00878574996301773	4
8-cell:0047	8-cell	0.303812368670579	0.0913947953535104	0.7387540714131886	0.6379403930376567	morula	-0.16643748073453402	-0.052434848997302066	-0.03150188262129627	-0.027913839984703315	4
8-cell:0048	8-cell	0.4403634246719825	0.3411417523207073	0.7072835152390234	0.6312326613996714	morula	-0.201496459293617	-0.22426820813358106	-0.04594809662125943	-0.030173833773460723	4
8-cell:0049	8-cell	0.3199654720486978	0.1180855885854594	0.773245881587239	0.6257928075401988	morula	-0.17841302070325624	-0.07751962032653727	-0.030660414714146822	-0.00994582315773207	4
8-cell:0050	8-cell	0.9987188525905356	0.0051383612397719	0.773245881587239	0.6257928075401988	morula	-0.5584966775784816	0.2197540905530967	-0.027634331605578377	-0.00940173961166546	4
8-cell:0051	8-cell	0.4166776033068222	0.0644808152435372	0.8319041348127003	0.6626625796665148	morula	-0.2544536324877192	-0.019639905510705123	-0.045540805137908924	-0.03936933601326842	4
8-cell:0052	8-cell	0.5815953577996053	0.4548901848146299	0.773245881587239	0.6257928075401988	morula	-0.15472685622737092	-0.1776456812466362	-0.027008212537475984	-0.009288604160275327	4
8-cell:0053	8-cell	0.546028947861116	0.4412613757000745	0.7072835152390234	0.6312326613996714	morula	-0.15067516125522729	-0.19023934332047476	-0.041998426230002384	-0.02937909347668155	4
8-cell:0054	8-cell	0.6370563764632	0.4557489658498195	0.7985497790472389	0.6095261868581832	morula	-0.18024060114544505	-0.15563257995798913	-0.03357791498617768	0.009324619349539542	4
