stage	sample	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_832	0.093944091	94.0	152.0	0.618421052631579	18
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_1718	0.013745268	20.0	20.0	1.0	11
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_6518	0.059909335	87.0	101.0	0.8613861386138614	11
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_5064	-0.024982701	29.0	46.0	0.6304347826086957	14
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_4532	0.015502877	14.0	17.0	0.8235294117647058	7
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_2324	-0.070097421	153.0	273.0	0.5604395604395604	13
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_7504	0.072558145	0.0	1.0	0.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_4920	0.027287077	0.0	5.0	0.0	3
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3303	-0.028370305	17.0	238.0	0.07142857142857142	13
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_3928	-0.036694162	1.0	2.0	0.5	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_7095	-0.064702969	137.0	220.0	0.6227272727272727	9
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_5977	0.060793808	5.0	5.0	1.0	5
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_2355	-0.01669596	9.0	52.0	0.17307692307692307	2
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_4551	-0.053087412	0.0	2.0	0.0	1
sperm	GSE49828_RRBS_Sperm4_methylation_calling.bed.txt.gz	cluster_1333	-0.042831806	9.0	12.0	0.75	4
