cluster_name	x_morula	x_blast_observed	x_blast_predicted	c_diag_blast	abs_c_diag_blast	module_id	basin_residual_rank	blast_residual_rank
cluster_386	0.05	0.09714285714285714	0.09688769193858418	0.0002551652042729613	0.0002551652042729613	M00	145	156.0
cluster_3928	0.3830492424242424	0.11592442645074225	0.283775246444484	-0.16785081999374174	0.16785081999374174	M01	97	38.0
cluster_3967	0.0	0.04107142857142857	0.06883064650807093	-0.027759217936642357	0.027759217936642357	M06	88	133.0
cluster_3978	0.05555555555555555	0.0	0.10000514143086343	-0.10000514143086343	0.10000514143086343	M06	127	52.0
cluster_4026	1.0	0.28	0.629971555118336	-0.349971555118336	0.349971555118336	M03	17	12.0
cluster_4028	0.0	0.057142857142857134	0.06883064650807093	-0.011687789365213794	0.011687789365213794	M02	134	144.0
cluster_4064	0.0	0.0475	0.06883064650807093	-0.021330646508070927	0.021330646508070927	M06	108	140.0
cluster_4084	0.09347943722943723	0.16219298245614036	0.12128578285137358	0.040907199604766784	0.040907199604766784	M04	76	115.0
cluster_4141	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M05	7	75.0
cluster_4364	0.0	0.07060041407867494	0.06883064650807093	0.001769767570604014	0.001769767570604014	M04	51	155.0
cluster_4373	0.0	0.5	0.06883064650807093	0.4311693534919291	0.4311693534919291	M01	6	7.0
cluster_4404	0.2333333333333333	0.15657894736842107	0.19976352518379942	-0.04318457781537835	0.04318457781537835	M01	15	112.0
cluster_4420	0.0	0.02	0.06883064650807093	-0.048830646508070924	0.048830646508070924	M06	118	106.5
cluster_4449	0.0	0.2533333333333333	0.06883064650807093	0.18450268682526239	0.18450268682526239	M13	78	35.0
cluster_4532	1.0	0.3	0.629971555118336	-0.32997155511833604	0.32997155511833604	M13	57	18.0
cluster_4538	1.0	0.325	0.629971555118336	-0.304971555118336	0.304971555118336	M01	96	21.0
cluster_4551	0.0	0.125	0.06883064650807093	0.05616935349192907	0.05616935349192907	M00	105	100.0
cluster_4593	0.0	0.028571428571428567	0.06883064650807093	-0.04025921793664236	0.04025921793664236	M06	112	117.0
cluster_4605	0.45	0.36	0.32134405538269023	0.038655944617309757	0.038655944617309757	M01	9	119.0
cluster_483	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M11	80	75.0
cluster_4889	0.4714285714285714	0.3431438127090301	0.33336850342433877	0.009775309284691336	0.009775309284691336	M01	84	147.0
cluster_4897	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M06	89	75.0
cluster_4899	0.0	0.13333333333333336	0.06883064650807093	0.06450268682526243	0.06450268682526243	M00	121	91.0
cluster_4904	0.0	0.0	0.06883064650807093	-0.06883064650807093	0.06883064650807093	M12	18	75.0
cluster_4907	0.23214285714285715	0.22051282051282048	0.19909550029259676	0.021417320220223718	0.021417320220223718	M08	54	139.0
cluster_4909	0.0	0.5755555555555556	0.06883064650807093	0.5067249090474847	0.5067249090474847	M15	39	6.0
cluster_4920	0.13541666666666666	0.3901449275362319	0.14481847788237767	0.24532644965385425	0.24532644965385425	M13	75	25.0
cluster_5002	0.09455128205128203	0.4819085843709646	0.12188723882859279	0.36002134554237186	0.36002134554237186	M01	28	10.0
cluster_5020	0.02083333333333333	0.0908385093167702	0.08052108210411811	0.010317427212652094	0.010317427212652094	M00	83	146.0
cluster_5024	0.0	0.04	0.06883064650807093	-0.028830646508070927	0.028830646508070927	M02	136	131.0
