region_type	control_set	stage	n_samples	n_regions_valid	mean_region_total_reads	mean_region_cpg_rows	mean_width	mean_n_cpg_target	s_epi	s_matched_weighted
matched_non_age_window	matched_non_age_0003	zygote/PN	30	33	131.9090909090909	50.96969696969697	423.90909090909093	3.272727272727273	0.4789614577562998	0.49337729448830864
matched_non_age_window	matched_non_age_0003	2-cell	20	68	99.30882352941177	45.19117647058823	398.6470588235294	3.161764705882353	0.5133059135623965	0.5074863557113194
matched_non_age_window	matched_non_age_0003	4-cell	25	56	122.875	51.410714285714285	406.875	3.3392857142857144	0.47543327862249146	0.45314031367767643
matched_non_age_window	matched_non_age_0003	8-cell	48	33	224.06060606060606	95.36363636363636	393.42424242424244	3.3636363636363638	0.5012649721966396	0.4942349365973685
matched_non_age_window	matched_non_age_0003	morula	8	17	16.41176470588235	10.588235294117647	420.70588235294116	3.6470588235294117	0.4186543744501905	0.41625100729002046
matched_non_age_window	matched_non_age_0003	blastocyst	5	82	27.085365853658537	15.207317073170731	389.4512195121951	3.1463414634146343	0.38359367258609484	0.3707546044262446
matched_non_age_window	matched_non_age_0003	ICM	19	73	88.98630136986301	43.35616438356164	386.35616438356163	3.1780821917808217	0.4223471983765068	0.41847860866311604
matched_non_age_window	matched_non_age_0003	TE	13	64	55.140625	27.71875	394.140625	3.171875	0.4376177993580171	0.42930978909157286
matched_non_age_window	matched_non_age_0004	MII oocyte	36	27	287.6666666666667	122.29629629629629	406.7037037037037	3.925925925925926	0.3623415570083899	0.3646227524637936
matched_non_age_window	matched_non_age_0004	zygote/PN	30	23	376.4347826086956	107.47826086956522	406.6521739130435	4.0	0.43266171453391816	0.44586341758036346
matched_non_age_window	matched_non_age_0004	2-cell	20	62	178.17741935483872	62.24193548387097	428.6774193548387	3.467741935483871	0.5321599961473313	0.5513608194018496
matched_non_age_window	matched_non_age_0004	4-cell	25	46	281.0869565217391	90.02173913043478	420.04347826086956	3.652173913043478	0.5138756794604347	0.5362733853187058
matched_non_age_window	matched_non_age_0004	8-cell	48	26	412.7692307692308	161.07692307692307	429.65384615384613	4.1923076923076925	0.49226750534596475	0.5176256471462786
matched_non_age_window	matched_non_age_0004	morula	8	13	47.84615384615385	33.92307692307692	366.3076923076923	3.076923076923077	0.4282288884281844	0.4426886604774659
matched_non_age_window	matched_non_age_0004	blastocyst	5	64	49.453125	22.75	430.78125	3.40625	0.38737345178281546	0.3905090605377182
matched_non_age_window	matched_non_age_0004	ICM	19	64	153.15625	63.015625	416.265625	3.359375	0.5235022727783323	0.5313648850683083
matched_non_age_window	matched_non_age_0004	TE	13	65	87.84615384615384	37.41538461538462	408.3692307692308	3.353846153846154	0.4563580572530559	0.46200131443252584
matched_non_age_window	matched_non_age_0005	MII oocyte	36	32	149.0625	72.875	321.1875	2.875	0.39031955029100096	0.39290652858605274
matched_non_age_window	matched_non_age_0005	zygote/PN	30	35	140.28571428571428	54.48571428571429	316.9714285714286	3.0285714285714285	0.4282914807009051	0.4457410286233001
matched_non_age_window	matched_non_age_0005	2-cell	20	67	102.91044776119404	45.850746268656714	392.32835820895525	3.4477611940298507	0.5183465115510343	0.5283872332241212
matched_non_age_window	matched_non_age_0005	4-cell	25	52	125.03846153846153	56.21153846153846	373.11538461538464	3.4038461538461537	0.46190764873773676	0.4865562853408451
matched_non_age_window	matched_non_age_0005	8-cell	48	34	204.91176470588235	91.26470588235294	381.55882352941177	3.5294117647058822	0.46938534134700305	0.4875107926133596
matched_non_age_window	matched_non_age_0005	morula	8	11	20.363636363636363	13.181818181818182	318.1818181818182	2.4545454545454546	0.33299541217712486	0.3272819402381401
matched_non_age_window	matched_non_age_0005	blastocyst	5	75	30.85333333333333	17.986666666666668	388.44	3.3333333333333335	0.32248271676465506	0.34973320662653085
matched_non_age_window	matched_non_age_0005	ICM	19	64	113.828125	54.125	386.09375	3.46875	0.49574985410402395	0.5120681286184282
matched_non_age_window	matched_non_age_0005	TE	13	68	64.61764705882354	29.044117647058822	384.69117647058823	3.3970588235294117	0.49499540253232666	0.5007642061444304
matched_non_age_window	matched_non_age_0006	MII oocyte	36	34	105.91176470588235	61.44117647058823	524.8529411764706	3.764705882352941	0.3472408203191155	0.3524805013278457
matched_non_age_window	matched_non_age_0006	zygote/PN	30	29	120.62068965517241	56.03448275862069	556.2758620689655	4.241379310344827	0.44834418458191466	0.47073641876383737
matched_non_age_window	matched_non_age_0006	2-cell	20	58	115.84482758620689	56.63793103448276	470.7931034482759	3.5172413793103448	0.5709063343917389	0.5762256544415694
matched_non_age_window	matched_non_age_0006	4-cell	25	50	94.08	53.48	501.56	3.72	0.5165135118954585	0.5126427274237292
matched_non_age_window	matched_non_age_0006	8-cell	48	30	197.53333333333333	100.7	511.73333333333335	3.7333333333333334	0.5751099888981961	0.5865860043418273
matched_non_age_window	matched_non_age_0006	morula	8	9	15.222222222222221	12.666666666666666	435.55555555555554	2.888888888888889	0.3128777617171673	0.3314292414304562
matched_non_age_window	matched_non_age_0006	blastocyst	5	65	30.276923076923076	18.630769230769232	446.24615384615385	3.4923076923076923	0.34533585683292367	0.3264910694178886
matched_non_age_window	matched_non_age_0006	ICM	19	58	110.51724137931035	56.39655172413793	463.62068965517244	3.5344827586206895	0.5160594042158211	0.5256443600147432
matched_non_age_window	matched_non_age_0006	TE	13	56	68.35714285714286	33.982142857142854	480.44642857142856	3.5535714285714284	0.5215362508996756	0.5317745949575777
matched_non_age_window	matched_non_age_0007	MII oocyte	36	37	177.32432432432432	79.05405405405405	483.6216216216216	3.5135135135135136	0.41766360629107113	0.41324647851915336
