gene	mural_dex_minus_control_logcpm	mural_abs_effect	mural_p	mural_ctrl_n	mural_dex_n	mural_mean_logcpm	polar_dex_minus_control_logcpm	polar_abs_effect	polar_p	polar_ctrl_n	polar_dex_n	polar_mean_logcpm	max_abs_effect	mean_abs_effect	min_p	mean_logcpm	gene_key	n_human_dmr	age_weight_5yr	contribution_8cell_to_morula	weight_norm_matched	is_csb
MS4A3	-0.07182610208292652	0.07182610208292652	0.3610987089089225	93	224	0.09790485645695618	-0.11414143270498543	0.11414143270498543	0.31190884059295737	62	90	0.11450210625504068	0.11414143270498543	0.10003632249763246	0.31190884059295737	0.10620348135599843	MS4A3	1.0	0.027980847	0.0073560345295696	0.0297080779495855	True
MYBPC1	-0.2123952535345074	0.2123952535345074	0.08739418795141222	93	224	0.2147070204336562	-0.0690667155749698	0.0690667155749698	0.4171787017427596	62	90	0.06598120559638068	0.2123952535345074	0.16461907421466151	0.08739418795141222	0.14034411301501842	MYBPC1	1.0	0.013074757	0.0	0.0138818492566679	True
MYH1	-0.24549987732046294	0.24549987732046294	0.0684729604436473	93	224	0.29470349609534524	-0.11286407335608475	0.11286407335608475	0.45759988089486225	62	90	0.1822784448645034	0.24549987732046294	0.2012879426656702	0.0684729604436473	0.23849097047992432	MYH1	1.0	0.045068689	0.0303847984349908	0.0478507361087971	True
MYOF	-0.10000819255856452	0.10000819255856452	0.7163859579525559	93	224	6.801458555157797	-0.131633653484319	0.131633653484319	0.6504550866624669	62	90	7.13392597242948	0.131633653484319	0.12109183317573417	0.6504550866624669	6.967692263793639	MYOF	1.0	0.033547863	0.0032863416423358	0.0356187405279767	True
NEUROD2	0.1934270014463113	0.1934270014463113	0.18460157367328306	93	224	1.1019454299188873	0.20982332268649773	0.20982332268649773	0.19205842587853184	62	90	0.8516365200199136	0.20982332268649773	0.20435788227310225	0.18460157367328306	0.9767909749694005	NEUROD2	1.0	-0.010225803	0.0006623877197645	-0.010857032048426	True
NID1	-1.3469680298330537	1.3469680298330537	3.1469400252821595e-05	93	224	4.774812945914676	-0.8446368222039755	0.8446368222039755	0.043397192241869546	62	90	5.533958085368613	1.3469680298330537	1.1795242939566943	3.1469400252821595e-05	5.1543855156416445	NID1	1.0	0.045617076	0.0068601966237719	0.0484329745143229	True
NKX2-5	-0.08627675192868942	0.08627675192868942	0.3640495361723768	93	224	0.12770617658701855	0.06274461671304238	0.06274461671304238	0.48863570855427874	62	90	0.08618809718319179	0.08627675192868942	0.07843270685680707	0.3640495361723768	0.10694713688510517	NKX2-5	1.0	-0.038638364	0.0056270185905884	-0.0410234732907284	True
NPW	-0.15573260345273207	0.15573260345273207	0.22077214521337246	93	224	0.14416637830381465	0.03253913865532157	0.03253913865532157	0.18025852646420687	62	90	0.0192665952564404	0.15573260345273207	0.11466811518692858	0.18025852646420687	0.08171648678012752	NPW	1.0	-0.020554218	0.0020363944693903	-0.0218230102375662	True
NR2F2	-1.0027509129562837	1.0027509129562837	0.0014127373216838682	93	224	6.254457021856902	-0.4283826297795166	0.4283826297795166	0.05962531672825634	62	90	7.975977990809153	1.0027509129562837	0.811294818564028	0.0014127373216838682	7.115217506333028	NR2F2	1.0	-0.030119887	0.0133301522902862	-0.0319791588449309	True
NUDT13	-0.15498531376636654	0.15498531376636654	0.30324437435658513	93	224	0.45999449525531133	0.16860409409863708	0.16860409409863708	0.33109049607809415	62	90	0.44979956824955236	0.16860409409863708	0.1640645006545469	0.30324437435658513	0.45489703175243185	NUDT13	1.0	-0.025276367	9.314854815538516e-18	-0.0268366529833186	True
NXF1	-0.43964423091984806	0.43964423091984806	0.14519651527936855	93	224	6.039797424342851	-0.33849639797906583	0.33849639797906583	0.20949224054821167	62	90	7.075177917448265	0.43964423091984806	0.40592828660625396	0.14519651527936855	6.557487670895558	NXF1	1.0	-0.0108450819999999	0.0024356021635903	-0.0115145385493744	True
PCDH17	-0.4546907828404496	0.4546907828404496	0.09718422565464997	93	224	1.2442601029418605	0.14219038962211905	0.14219038962211905	0.5566680081309126	62	90	0.7605051535214546	0.4546907828404496	0.3505239851010061	0.09718422565464997	1.0023826282316577	PCDH17	1.0	0.067321522	0.0465461852777682	0.0714772152272852	True
PCDHGA1	-0.17137571017554493	0.17137571017554493	0.09288090513492742	93	224	0.13679987411559827	-0.01082106262961715	0.01082106262961715	0.6624271154686244	62	90	0.020585413955984275	0.17137571017554493	0.11785749432690233	0.09288090513492742	0.07869264403579126	PCDHGA1	1.0	-0.031586986	0.0	-0.0335368204643865	True
PDE4B	-0.25109366958218754	0.25109366958218754	0.010444671540698945	93	224	0.12850998881125983	-0.07156831245121315	0.07156831245121315	0.420566262711768	62	90	0.09174633171074013	0.25109366958218754	0.19125188387186273	0.010444671540698945	0.11012816026099997	PDE4B	1.0	0.044527436	0.0	0.0472760720782748	True
PDLIM3	-0.007339064021411407	0.007339064021411407	0.9165069404610742	93	224	0.09638316244111753	-0.13496166990076156	0.13496166990076156	0.08614282130732133	62	90	0.058297790601177	0.13496166990076156	0.09242080127431151	0.08614282130732133	0.07734047652114726	PDLIM3	2.0	0.090800309	0.0001469918547877	0.0964053253147931	True
PHACTR2	-0.17184387593779205	0.17184387593779205	0.5997217224573161	93	224	3.248119246132145	0.971417622416006	0.971417622416006	0.018571724260200755	62	90	3.030708929908905	0.971417622416006	0.7048930402566014	0.018571724260200755	3.139414088020525	PHACTR2	1.0	0.059909335	0.0036321595185784	0.0636074810061265	True
