geo_accession	sample	population	individual	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	meth	total	beta
GSM2948423	CTB1_RRBS	CTB	1	cluster_840	67	0.0225100814059266	M13	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_2776	68	-0.0224303631697264	M14	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6406	69	0.0215921505818914	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_6171	70	0.0212502803673657	M04	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_2324	71	0.0206743665662644	M14	33.0	94.0	0.35106382978723405
GSM2948423	CTB1_RRBS	CTB	1	cluster_2126	72	0.020437472066274	M02	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3133	73	-0.0204314138955557	M14	11.0	52.0	0.21153846153846154
GSM2948423	CTB1_RRBS	CTB	1	cluster_915	74	-0.0199935342096491	M07	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4920	75	0.0196173272824462	M13	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4084	76	-0.0195509484423129	M04	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_634	77	0.0191270264069371	M13	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_4449	78	0.0189100674522665	M13	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_3227	79	0.0182982290311602	M00	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_483	80	-0.0182694894255372	M11	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_1586	81	0.0172386176409699	M00	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_2004	82	0.0160837424277074	M11	0.0	0.0	
GSM2948423	CTB1_RRBS	CTB	1	cluster_5020	83	-0.0153864516463316	M00	0.0	0.0	
